,Part,Part #,Quantity,Price,Shipping & Taxes,Total Price
1,PCB,,1,$3.20,$3.12,$6.32
2,56k resistor,C114756,4,$0.00,$0.00,$0.01
3,1uF capacitor,C307454,9,$0.01,$0.00,$0.13
4,100nF capacitor,C77058,3,$0.04,$0.00,$0.12
5,Micro USB,C5295969,1,$0.10,$0.00,$0.10
6,USB C plug,C2879827,1,$1.23,$0.00,$1.23
7,USB A receptacle,C840354,1,$0.33,$0.00,$0.33
8,USB C receptacle,C165948,2,$0.19,$0.00,$0.37
9,5.1K resistor,C105872,1,$0.00,$0.00,$0.00
10,SL2.1S ,C2684433,1,$0.25,$0.00,$0.25
11,Case,,1,$0.31,$0.00,$0.31
Totals,,,,$5.67,$3.12,$9.17
